site,pillar,indicator,raw_value,bg_median,anomaly,bg_std,bg_std_spatial,bg_std_temporal,z,score,confidence,qa,n_valid,anomaly_strength,spatial_context,extra_note
"TSMC Fab 18, Tainan",air,air.o3,285.71387976042286,285.63529460541747,0.07858515500538488,9.963960109696238,0.35314755623294575,9.963960109696238,0.007886939945585614,0.0026289799818618714,0.7195348837209302,0.85,1.0,0.05813953488372093,1.0,
"TSMC Fab 18, Tainan",air,air.aai,-0.05823624605393736,-0.22095712385881752,0.16272087780488015,0.4986416817831707,0.13490039020014877,0.4986416817831707,0.32632827087976507,0.10877609029325502,0.7195348837209302,0.85,1.0,0.05813953488372093,1.0,
"TSMC Fab 18, Tainan",air,air.aod,436.56299712491347,405.08444074093006,31.478556383983403,103.82633555291082,54.015190681177145,103.8263355529108,0.3031846998774377,0.10106156662581256,0.8075000000000001,0.9,1.0,0.35,1.0,
"TSMC Fab 18, Tainan",ghg,ghg.ch4,1939.290529646597,1928.4043067989735,10.886222847623458,22.270371800316905,9.607328418754713,22.270371800316905,0.48882088477160257,0.16294029492386755,0.3706011345568964,0.85,0.4074074074074074,0.09090909090909091,0.4220128216441705,context — not scored (M-CH4-A1 reference)
"TSMC Fab 18, Tainan",ghg,ghg.co2,19041.455369854048,,,,,,,0.36555485109750263,1.0,1.0,1.0,1.0,1.0,"context — not scored; rel_intensity=2.3203572266023884 (cap 10), total_tCO2yr=1608144.246451673"
"TSMC Fab 18, Tainan",ghg,ghg.viirs,28.297440285152863,,,,,,,0.0,0.675,0.85,0.9,0.0,1.0,"flaring_frac=0, lit_contrast_pct=0.8443920253584176, state=moderate"
Morowali Industrial Park (IMIP),air,air.no2,134.4771744933348,82.20384001244466,52.27333448089013,80.22535277997086,20.02939839593196,80.22535277997086,0.6515812354762339,0.21719374515874465,0.7166562500000001,0.9,1.0,0.1375,1.0,
Morowali Industrial Park (IMIP),air,air.so2,362.3844687892151,190.17523267138165,172.20923611783343,239.97428207206565,123.72077355596554,239.97428207206565,0.7176153820771428,0.2392051273590476,0.6306666666666666,0.75,1.0,0.16666666666666666,1.0,
Morowali Industrial Park (IMIP),air,air.co,36.443918631624705,27.467605771748868,8.976312859875836,5.684450199567923,2.4369019233866895,5.684450199567923,1.5790995689535865,0.5263665229845288,0.6048163265306122,0.85,1.0,0.20408163265306123,1.0,
Morowali Industrial Park (IMIP),air,air.hcho,195.75200193851688,167.4515785973261,28.300423341190793,122.25051922322622,30.219917131605705,122.25051922322622,0.23149532223675032,0.0771651074122501,0.6742311320754717,0.85,1.0,0.018867924528301886,1.0,
Morowali Industrial Park (IMIP),air,air.pm25,,,,,,,,,,,,,,
Morowali Industrial Park (IMIP),air,air.pm10,,,,,,,,,,,,,,
Morowali Industrial Park (IMIP),air,air.o3,260.16816981450614,259.68065336936695,0.48751644513919246,3.223113689923081,0.6731660566148305,3.223113689923081,0.15125636016606878,0.05041878672202293,0.719367816091954,0.85,1.0,0.05747126436781609,1.0,
